Probe 1,Probe 2,Passed?,Should?,Hamming
`1/1,'165/1,1,0,0.49
`1/1,'165/2,1,0,0.485
`1/1,'165/3,1,0,0.4985
`1/1,'165/4,1,0,0.5005
`1/1,'165/5,1,0,0.4865
`1/1,'166/2,1,0,0.499
`1/1,'166/4,1,0,0.4865
`1/1,'166/5,1,0,0.501
`1/1,'167/1,1,0,0.4915
`1/1,'167/2,1,0,0.4895
`1/1,'167/3,1,0,0.507
`1/1,'167/4,1,0,0.4945
`1/1,'167/5,1,0,0.492
`1/1,'168/1,1,0,0.482
`1/1,'168/3,1,0,0.4965
`1/1,'168/5,1,0,0.479
`1/1,'169/1,1,0,0.466
`1/1,'169/2,1,0,0.4695
`1/1,'169/3,1,0,0.469
`1/1,'169/4,1,0,0.4705
`1/1,'169/5,1,0,0.4755
`1/1,'170/1,1,0,0.484
`1/1,'170/2,1,0,0.495
`1/1,'170/3,1,0,0.469
`1/1,'171/1,1,0,0.498
`1/1,'171/5,1,0,0.489
`1/1,'175/1,1,0,0.5065
`1/1,'175/2,1,0,0.4965
`1/1,'175/3,1,0,0.4645
`1/1,'175/4,1,0,0.5005
`1/1,'175/5,1,0,0.495
`1/1,'177/1,1,0,0.4905
`1/1,'177/2,1,0,0.501
`1/1,'177/3,1,0,0.4925
`1/1,'177/4,1,0,0.4775
`1/1,'177/5,1,0,0.4815
`1/1,'178/1,1,0,0.497
`1/1,'178/3,1,0,0.47
`1/1,'180/2,1,0,0.4695
`1/1,'180/3,1,0,0.4725
`1/1,'180/4,1,0,0.483
`1/1,'180/5,1,0,0.4735
`1/1,'181/1,1,0,0.479
`1/1,'181/2,1,0,0.482
`1/1,'181/3,1,0,0.507
`1/1,'181/4,1,0,0.4905
`1/1,'181/5,1,0,0.491
`1/1,'182/1,1,0,0.495
`1/1,'182/2,1,0,0.5075
`1/1,'182/3,1,0,0.507
`1/1,'182/4,1,0,0.495
`1/1,'182/5,1,0,0.4945
`1/1,'183/1,1,0,0.4795
`1/1,'183/2,1,0,0.4875
`1/1,'183/3,1,0,0.4895
`1/1,'183/4,1,0,0.4885
`1/1,'183/5,1,0,0.47
`1/1,'186/1,1,0,0.468
`1/1,'186/2,1,0,0.4725
`1/1,'186/4,1,0,0.4635
`1/1,'186/5,1,0,0.4825
`1/1,'19/1,1,0,0.5025
`1/1,'19/2,1,0,0.5115
`1/1,'19/3,1,0,0.483
`1/1,'19/4,1,0,0.4865
`1/1,'19/5,1,0,0.49
`1/1,'190/1,1,0,0.4835
`1/1,'190/2,1,0,0.4995
`1/1,'190/3,1,0,0.482
`1/1,'192/1,1,0,0.4855
`1/1,'192/2,1,0,0.474
`1/1,'192/3,1,0,0.4815
`1/1,'192/4,1,0,0.4745
`1/1,'192/5,1,0,0.492
`1/1,'194/2,1,0,0.503
`1/1,'194/3,1,0,0.4935
`1/1,'194/4,1,0,0.492
`1/1,'194/5,1,0,0.4755
`1/1,'195/1,1,0,0.4795
`1/1,'195/3,1,0,0.489
`1/1,'195/4,1,0,0.485
`1/1,'195/5,1,0,0.487
`1/1,'196/1,1,0,0.481
`1/1,'196/2,1,0,0.49
`1/1,'196/3,1,0,0.482
`1/1,'196/4,1,0,0.48
`1/1,'199/1,1,0,0.473
`1/1,'199/2,1,0,0.473
`1/1,'199/3,1,0,0.477
`1/1,'199/4,1,0,0.472
`1/1,'199/5,1,0,0.4715
`1/1,'2/1,1,0,0.4885
`1/1,'2/2,1,0,0.4865
`1/1,'2/3,1,0,0.4795
`1/1,'2/5,1,0,0.4825
`1/1,'214/1,1,0,0.4815
`1/1,'214/2,1,0,0.469
`1/1,'214/4,1,0,0.479
`1/1,'214/5,1,0,0.492
`1/1,'220/1,1,0,0.4865
`1/1,'220/2,1,0,0.492
`1/1,'220/3,1,0,0.489
`1/1,'220/4,1,0,0.478
`1/1,'220/5,1,0,0.4825
`1/1,'221/1,1,0,0.491
`1/1,'221/2,1,0,0.49
`1/1,'221/3,1,0,0.483
`1/1,'221/4,1,0,0.4985
`1/1,'221/5,1,0,0.4915
`1/1,'222/1,1,0,0.491
`1/1,'222/2,1,0,0.487
`1/1,'222/3,1,0,0.477
`1/1,'224/2,1,0,0.487
`1/1,'224/4,1,0,0.493
`1/1,'225/1,1,0,0.496
`1/1,'225/2,1,0,0.497
`1/1,'225/4,1,0,0.4865
`1/1,'225/5,1,0,0.505
`1/1,'227/1,1,0,0.477
`1/1,'227/2,1,0,0.474
`1/1,'227/3,1,0,0.4785
`1/1,'227/4,1,0,0.4875
`1/1,'237/1,1,0,0.4925
`1/1,'237/2,1,0,0.477
`1/1,'237/3,1,0,0.468
`1/1,'237/4,1,0,0.48
`1/1,'237/5,1,0,0.479
`1/1,'25/1,1,0,0.4795
`1/1,'25/2,1,0,0.467
`1/1,'25/3,1,0,0.474
`1/1,'27/1,1,0,0.4755
`1/1,'27/2,1,0,0.482
`1/1,'27/3,1,0,0.4585
`1/1,'27/4,1,0,0.475
`1/1,'27/5,1,0,0.487
`1/1,'29/1,1,0,0.4845
`1/1,'29/2,1,0,0.4735
`1/1,'29/3,1,0,0.4575
`1/1,'29/4,1,0,0.4725
`1/1,'35/1,1,0,0.4785
`1/1,'35/2,1,0,0.483
`1/1,'35/3,1,0,0.4985
`1/1,'37/3,1,0,0.488
`1/1,'37/4,1,0,0.492
`1/1,'38/1,1,0,0.4795
`1/1,'38/2,1,0,0.4885
`1/1,'38/3,1,0,0.4795
`1/1,'38/4,1,0,0.4705
`1/1,'38/5,1,0,0.4765
`1/1,'40/1,1,0,0.4835
`1/1,'40/2,1,0,0.4965
`1/1,'41/1,1,0,0.4835
`1/1,'41/3,1,0,0.492
`1/1,'41/4,1,0,0.491
`1/1,'41/5,1,0,0.5055
`1/1,'42/1,1,0,0.5005
`1/1,'42/3,1,0,0.4645
`1/1,'42/4,1,0,0.492
`1/1,'42/5,1,0,0.4925
`1/1,'44/1,1,0,0.479
`1/1,'44/2,1,0,0.5
`1/1,'44/3,1,0,0.495
`1/1,'44/4,1,0,0.4945
`1/1,'44/5,1,0,0.4925
`1/1,'45/3,1,0,0.474
`1/1,'45/4,1,0,0.4745
`1/1,'45/5,1,0,0.4905
`1/1,'46/2,1,0,0.4745
`1/1,'46/3,1,0,0.4945
`1/1,'46/4,1,0,0.4795
`1/1,'46/5,1,0,0.501
`1/1,'47/2,1,0,0.4645
`1/1,'47/3,1,0,0.464
`1/1,'47/4,1,0,0.4785
`1/1,'47/5,1,0,0.483
`1/1,'49/3,1,0,0.471
`1/1,'49/4,1,0,0.463
`1/1,'49/5,1,0,0.4795
`1/1,'51/1,1,0,0.4965
`1/1,'51/2,1,0,0.477
`1/1,'51/3,1,0,0.5005
`1/1,'51/4,1,0,0.4965
`1/1,'51/5,1,0,0.481
`1/1,'54/1,1,0,0.4955
`1/1,'54/5,1,0,0.4915
`1/1,'55/1,1,0,0.4805
`1/1,'55/2,1,0,0.4755
`1/1,'55/3,1,0,0.483
`1/1,'55/4,1,0,0.486
`1/1,'55/5,1,0,0.484
`1/1,'56/1,1,0,0.4615
`1/1,'56/2,1,0,0.481
`1/1,'56/4,1,0,0.464
`1/1,'58/1,1,0,0.475
`1/1,'58/2,1,0,0.512
`1/1,'58/3,1,0,0.4735
`1/1,'58/5,1,0,0.4795
`1/1,'59/1,1,0,0.476
`1/1,'59/2,1,0,0.473
`1/1,'59/3,1,0,0.4665
`1/1,'59/4,1,0,0.4855
`1/1,'59/5,1,0,0.484
`1/1,'6/1,1,0,0.5075
`1/1,'6/3,1,0,0.5045
`1/1,'6/4,1,0,0.4945
`1/1,'61/1,1,0,0.491
`1/1,'61/2,1,0,0.492
`1/1,'61/3,1,0,0.502
`1/1,'69/1,1,0,0.4825
`1/1,'69/2,1,0,0.465
`1/1,'7/2,1,0,0.4915
`1/1,'7/3,1,0,0.5015
`1/1,'70/1,1,0,0.4695
`1/1,'70/2,1,0,0.476
`1/1,'72/1,1,0,0.4755
`1/1,'72/2,1,0,0.4775
`1/1,'72/3,1,0,0.47
`1/1,'72/4,1,0,0.4855
`1/1,'72/5,1,0,0.4715
`1/1,'74/1,1,0,0.484
`1/1,'74/2,1,0,0.4645
`1/1,'74/3,1,0,0.4865
`1/1,'74/4,1,0,0.465
`1/1,'74/5,1,0,0.484
`1/1,'76/1,1,0,0.4955
`1/1,'76/2,1,0,0.4825
`1/1,'76/3,1,0,0.502
`1/1,'76/5,1,0,0.5015
`1/1,'78/4,1,0,0.4725
`1/1,'78/5,1,0,0.488
`1/1,'8/1,1,0,0.4635
`1/1,'8/2,1,0,0.483
`1/1,'8/3,1,0,0.496
`1/1,'8/4,1,0,0.4785
`1/1,'8/5,1,0,0.4755
`1/1,'81/1,1,0,0.506
`1/1,'81/2,1,0,0.4885
`1/1,'81/4,1,0,0.5025
`1/1,'81/5,1,0,0.4965
`1/1,'83/1,1,0,0.4615
`1/1,'83/2,1,0,0.4835
`1/1,'83/3,1,0,0.4715
`1/1,'83/4,1,0,0.4755
`1/1,'83/5,1,0,0.481
`1/1,'84/1,1,0,0.4765
`1/1,'84/2,1,0,0.4905
`1/1,'84/3,1,0,0.486
`1/1,'84/5,1,0,0.476
`1/1,'85/1,1,0,0.471
`1/1,'85/2,1,0,0.4805
`1/1,'85/3,1,0,0.4735
`1/1,'85/4,1,0,0.4645
`1/1,'85/5,1,0,0.484
`1/1,'88/1,1,0,0.4915
`1/1,'88/2,1,0,0.49
`1/1,'88/3,1,0,0.4925
`1/1,'88/4,1,0,0.494
`1/1,'88/5,1,0,0.473
`1/1,'89/1,1,0,0.4615
`1/1,'89/2,1,0,0.483
`1/1,'89/3,1,0,0.48
`1/1,'89/4,1,0,0.474
`1/1,'89/5,1,0,0.491
`1/1,'91/2,1,0,0.477
`1/1,'91/3,1,0,0.492
`1/1,'91/4,1,0,0.4725
`1/1,'94/1,1,0,0.494
`1/1,'94/2,1,0,0.478
`1/1,'94/3,1,0,0.5015
`1/1,'94/4,1,0,0.492
`1/1,'94/5,1,0,0.4785
`1/1,'96/1,1,0,0.4815
`1/1,'96/2,1,0,0.474
`1/1,'96/3,1,0,0.4635
`1/1,'99/1,1,0,0.473
`1/1,'99/2,1,0,0.497
`1/1,'99/3,1,0,0.471
`1/1,'99/4,1,0,0.486
`1/1,'99/5,1,0,0.49
`10/1,'1/1,1,0,0.4825
`10/1,'1/2,1,0,0.5005
`10/1,'1/3,1,0,0.478
`10/1,'1/4,1,0,0.4915
`10/1,'1/5,1,0,0.4985
`10/1,'10/2,1,1,0.313
`10/1,'10/3,1,1,0.3245
`10/1,'10/4,1,1,0.3645
`10/1,'10/5,1,1,0.373
`10/1,'100/1,1,0,0.48
`10/1,'100/2,1,0,0.501
`10/1,'100/3,1,0,0.5035
`10/1,'100/4,1,0,0.49
`10/1,'100/5,1,0,0.483
`10/1,'101/1,1,0,0.475
`10/1,'101/2,1,0,0.4585
`10/1,'101/3,1,0,0.4785
`10/1,'101/5,1,0,0.4815
`10/1,'102/1,1,0,0.475
`10/1,'102/3,1,0,0.4695
`10/1,'102/4,1,0,0.4795
`10/1,'104/1,1,0,0.482
`10/1,'104/2,1,0,0.488
`10/1,'104/5,1,0,0.4965
`10/1,'105/1,1,0,0.498
`10/1,'105/2,1,0,0.481
`10/1,'105/3,1,0,0.4855
`10/1,'105/4,1,0,0.474
`10/1,'105/5,1,0,0.4935
`10/1,'106/1,1,0,0.492
`10/1,'106/2,1,0,0.487
`10/1,'106/3,1,0,0.477
`10/1,'106/4,1,0,0.4885
`10/1,'106/5,1,0,0.4965
`10/1,'11/1,1,0,0.489
`10/1,'11/2,1,0,0.488
`10/1,'11/3,1,0,0.4945
`10/1,'11/5,1,0,0.472
`10/1,'113/1,1,0,0.4715
`10/1,'113/2,1,0,0.4825
`10/1,'113/3,1,0,0.469
`10/1,'113/4,1,0,0.477
`10/1,'113/5,1,0,0.471
`10/1,'12/1,1,0,0.4675
`10/1,'12/2,1,0,0.4775
`10/1,'12/3,1,0,0.475
`10/1,'12/4,1,0,0.4845
`10/1,'12/5,1,0,0.4735
`10/1,'124/1,1,0,0.471
`10/1,'124/2,1,0,0.489
`10/1,'124/3,1,0,0.4885
`10/1,'124/4,1,0,0.471
`10/1,'124/5,1,0,0.4725
`10/1,'125/1,1,0,0.486
`10/1,'125/2,1,0,0.481
`10/1,'125/4,1,0,0.476
`10/1,'125/5,1,0,0.4805
`10/1,'126/2,1,0,0.486
`10/1,'126/3,1,0,0.485
`10/1,'126/4,1,0,0.488
`10/1,'13/1,1,0,0.4815
`10/1,'13/2,1,0,0.487
`10/1,'13/4,1,0,0.48
`10/1,'130/1,1,0,0.4855
`10/1,'130/2,1,0,0.48
`10/1,'130/3,1,0,0.474
`10/1,'130/4,1,0,0.4905
`10/1,'130/5,1,0,0.494
`10/1,'131/1,1,0,0.4835
`10/1,'131/2,1,0,0.4895
`10/1,'131/3,1,0,0.4805
`10/1,'131/4,1,0,0.474
`10/1,'131/5,1,0,0.4955
`10/1,'135/1,1,0,0.4705
`10/1,'135/2,1,0,0.479
`10/1,'135/3,1,0,0.4905
`10/1,'135/4,1,0,0.471
`10/1,'135/5,1,0,0.4945
`10/1,'136/1,1,0,0.49
`10/1,'136/2,1,0,0.4945
`10/1,'136/3,1,0,0.4835
`10/1,'136/4,1,0,0.496
`10/1,'136/5,1,0,0.4945
`10/1,'14/1,1,0,0.4725
`10/1,'14/2,1,0,0.4755
`10/1,'14/3,1,0,0.464
`10/1,'14/4,1,0,0.46
`10/1,'14/5,1,0,0.4765
`10/1,'140/1,1,0,0.473
`10/1,'140/3,1,0,0.4795
`10/1,'140/4,1,0,0.4875
`10/1,'141/1,1,0,0.5055
`10/1,'141/2,1,0,0.4945
`10/1,'141/3,1,0,0.49
`10/1,'141/4,1,0,0.495
`10/1,'141/5,1,0,0.499
`10/1,'142/1,1,0,0.477
`10/1,'142/2,1,0,0.4965
`10/1,'142/3,1,0,0.4795
`10/1,'142/4,1,0,0.477
`10/1,'142/5,1,0,0.4845
`10/1,'143/1,1,0,0.473
`10/1,'143/2,1,0,0.4665
`10/1,'143/3,1,0,0.4815
`10/1,'143/4,1,0,0.4765
`10/1,'143/5,1,0,0.486
`10/1,'147/1,1,0,0.4755
`10/1,'147/2,1,0,0.4865
`10/1,'147/3,1,0,0.5115
`10/1,'147/4,1,0,0.4965
`10/1,'147/5,1,0,0.5075
`10/1,'148/2,1,0,0.4945
`10/1,'148/3,1,0,0.4545
`10/1,'148/4,1,0,0.5045
`10/1,'148/5,1,0,0.4895
`10/1,'15/1,1,0,0.4875
`10/1,'15/2,1,0,0.472
`10/1,'15/3,1,0,0.4655
`10/1,'15/4,1,0,0.4765
`10/1,'15/5,1,0,0.4925
`10/1,'151/1,1,0,0.478
`10/1,'151/2,1,0,0.4905
`10/1,'151/3,1,0,0.4695
`10/1,'151/4,1,0,0.487
`10/1,'151/5,1,0,0.479
`10/1,'152/1,1,0,0.493
`10/1,'152/2,1,0,0.486
`10/1,'152/3,1,0,0.4825
`10/1,'152/4,1,0,0.476
`10/1,'152/5,1,0,0.4995
`10/1,'153/2,1,0,0.474
`10/1,'153/3,1,0,0.4835
`10/1,'155/1,1,0,0.5085
`10/1,'155/2,1,0,0.503
`10/1,'155/3,1,0,0.49
`10/1,'155/4,1,0,0.495
`10/1,'158/1,1,0,0.486
`10/1,'158/2,1,0,0.4915
`10/1,'158/3,1,0,0.4965
`10/1,'158/4,1,0,0.4965
`10/1,'158/5,1,0,0.469
`10/1,'16/1,1,0,0.4785
`10/1,'16/2,1,0,0.488
`10/1,'16/3,1,0,0.488
`10/1,'16/4,1,0,0.4905
`10/1,'16/5,1,0,0.4805
`10/1,'161/1,1,0,0.4825
`10/1,'161/2,1,0,0.483
`10/1,'161/3,1,0,0.4885
`10/1,'161/4,1,0,0.486
`10/1,'161/5,1,0,0.477
`10/1,'162/1,1,0,0.4935
`10/1,'162/3,1,0,0.5
`10/1,'162/5,1,0,0.488
`10/1,'165/1,1,0,0.4745
`10/1,'165/2,1,0,0.4745
`10/1,'165/3,1,0,0.474
`10/1,'165/4,1,0,0.47
`10/1,'165/5,1,0,0.482
`10/1,'166/2,1,0,0.4755
`10/1,'166/4,1,0,0.477
`10/1,'166/5,1,0,0.4685
`10/1,'167/1,1,0,0.474
`10/1,'167/2,1,0,0.477
`10/1,'167/3,1,0,0.5005
`10/1,'167/4,1,0,0.483
`10/1,'167/5,1,0,0.4835
`10/1,'168/1,1,0,0.4945
`10/1,'168/3,1,0,0.499
`10/1,'168/5,1,0,0.4915
`10/1,'169/1,1,0,0.4645
`10/1,'169/2,1,0,0.493
`10/1,'169/3,1,0,0.4675
`10/1,'169/4,1,0,0.472
`10/1,'169/5,1,0,0.477
`10/1,'170/1,1,0,0.4955
`10/1,'170/2,1,0,0.4985
`10/1,'170/3,1,0,0.4965
`10/1,'171/1,1,0,0.4845
`10/1,'171/5,1,0,0.4945
`10/1,'175/1,1,0,0.48
`10/1,'175/2,1,0,0.491
`10/1,'175/3,1,0,0.48
`10/1,'175/4,1,0,0.508
`10/1,'175/5,1,0,0.4945
`10/1,'177/1,1,0,0.488
`10/1,'177/2,1,0,0.4925
`10/1,'177/3,1,0,0.489
`10/1,'177/4,1,0,0.495
`10/1,'177/5,1,0,0.49
`10/1,'178/1,1,0,0.4835
`10/1,'178/3,1,0,0.4845
`10/1,'180/2,1,0,0.495
`10/1,'180/3,1,0,0.479
`10/1,'180/4,1,0,0.4695
`10/1,'180/5,1,0,0.483
`10/1,'181/1,1,0,0.4815
`10/1,'181/2,1,0,0.4885
`10/1,'181/3,1,0,0.5015
`10/1,'181/4,1,0,0.478
`10/1,'181/5,1,0,0.4855
`10/1,'182/1,1,0,0.4845
`10/1,'182/2,1,0,0.481
`10/1,'182/3,1,0,0.4665
`10/1,'182/4,1,0,0.4965
`10/1,'182/5,1,0,0.48
`10/1,'183/1,1,0,0.481
`10/1,'183/2,1,0,0.497
`10/1,'183/3,1,0,0.488
`10/1,'183/4,1,0,0.47
`10/1,'183/5,1,0,0.4835
`10/1,'186/1,1,0,0.4815
`10/1,'186/2,1,0,0.488
`10/1,'186/4,1,0,0.493
`10/1,'186/5,1,0,0.498
`10/1,'19/1,1,0,0.472
`10/1,'19/2,1,0,0.479
`10/1,'19/3,1,0,0.4925
`10/1,'19/4,1,0,0.487
`10/1,'19/5,1,0,0.4875
`10/1,'190/1,1,0,0.516
`10/1,'190/2,1,0,0.5
`10/1,'190/3,1,0,0.5005
`10/1,'192/1,1,0,0.506
`10/1,'192/2,1,0,0.4935
`10/1,'192/3,1,0,0.493
`10/1,'192/4,1,0,0.478
`10/1,'192/5,1,0,0.4885
`10/1,'194/2,1,0,0.4795
`10/1,'194/3,1,0,0.472
`10/1,'194/4,1,0,0.4795
`10/1,'194/5,1,0,0.488
`10/1,'195/1,1,0,0.485
`10/1,'195/3,1,0,0.4695
`10/1,'195/4,1,0,0.4875
`10/1,'195/5,1,0,0.4905
`10/1,'196/1,1,0,0.4705
`10/1,'196/2,1,0,0.4985
`10/1,'196/3,1,0,0.4905
`10/1,'196/4,1,0,0.4695
`10/1,'199/1,1,0,0.4925
`10/1,'199/2,1,0,0.4805
`10/1,'199/3,1,0,0.4945
`10/1,'199/4,1,0,0.4675
`10/1,'199/5,1,0,0.506
`10/1,'2/1,1,0,0.49
`10/1,'2/2,1,0,0.48
`10/1,'2/3,1,0,0.477
`10/1,'2/5,1,0,0.503
`10/1,'214/1,1,0,0.502
`10/1,'214/2,1,0,0.4895
`10/1,'214/4,1,0,0.4945
`10/1,'214/5,1,0,0.4965
`10/1,'220/1,1,0,0.5
`10/1,'220/2,1,0,0.4815
`10/1,'220/3,1,0,0.4755
`10/1,'220/4,1,0,0.4795
`10/1,'220/5,1,0,0.484
`10/1,'221/1,1,0,0.4655
`10/1,'221/2,1,0,0.4925
`10/1,'221/3,1,0,0.4925
`10/1,'221/4,1,0,0.481
`10/1,'221/5,1,0,0.478
`10/1,'222/1,1,0,0.4925
`10/1,'222/2,1,0,0.4725
`10/1,'222/3,1,0,0.4865
`10/1,'224/2,1,0,0.4885
`10/1,'224/4,1,0,0.5025
`10/1,'225/1,1,0,0.4865
`10/1,'225/2,1,0,0.4975
`10/1,'225/4,1,0,0.484
`10/1,'225/5,1,0,0.4955
`10/1,'227/1,1,0,0.4835
`10/1,'227/2,1,0,0.4775
`10/1,'227/3,1,0,0.486
`10/1,'227/4,1,0,0.465
`10/1,'237/1,1,0,0.474
`10/1,'237/2,1,0,0.4705
`10/1,'237/3,1,0,0.4765
`10/1,'237/4,1,0,0.4455
`10/1,'237/5,1,0,0.4815
`10/1,'25/1,1,0,0.482
`10/1,'25/2,1,0,0.4895
`10/1,'25/3,1,0,0.4895
`10/1,'27/1,1,0,0.485
`10/1,'27/2,1,0,0.4835
`10/1,'27/3,1,0,0.482
`10/1,'27/4,1,0,0.4855
`10/1,'27/5,1,0,0.4785
`10/1,'29/1,1,0,0.484
`10/1,'29/2,1,0,0.487
`10/1,'29/3,1,0,0.496
`10/1,'29/4,1,0,0.48
`10/1,'35/1,1,0,0.487
`10/1,'35/2,1,0,0.4855
`10/1,'35/3,1,0,0.474
`10/1,'37/3,1,0,0.4845
`10/1,'37/4,1,0,0.4665
`10/1,'38/1,1,0,0.492
`10/1,'38/2,1,0,0.494
`10/1,'38/3,1,0,0.506
`10/1,'38/4,1,0,0.491
`10/1,'38/5,1,0,0.503
`10/1,'40/1,1,0,0.491
`10/1,'40/2,1,0,0.495
`10/1,'41/1,1,0,0.51
`10/1,'41/3,1,0,0.4945
`10/1,'41/4,1,0,0.4885
`10/1,'41/5,1,0,0.492
`10/1,'42/1,1,0,0.482
`10/1,'42/3,1,0,0.467
`10/1,'42/4,1,0,0.4705
`10/1,'42/5,1,0,0.481
`10/1,'44/1,1,0,0.4905
`10/1,'44/2,1,0,0.4875
`10/1,'44/3,1,0,0.4995
`10/1,'44/4,1,0,0.476
`10/1,'44/5,1,0,0.494
`10/1,'45/3,1,0,0.4955
`10/1,'45/4,1,0,0.483
